2001: A Space Odyssey	Arthur C. Clarke
The Year of the French	Thomas Flanagan
The Year of the Hare	Arto Paasilinna
The Yearling	Marjorie Kinnan Rawlings
The Years with Laura Diaz	Carlos Fuentes
The Yiddish Policemen's Union	Michael Chabon
The Young Man	Botho Strauß
Theory of War	Joan Brady
Thérèse Desqueyroux	François Mauriac
Thérèse Raquin	Emile Zola
They Shoot Horses, Don't They?	Horace McCoy
This Present Darkness	Frank Peretti
This Side of Paradise	F. Scott Fitzgerald
This Way for the Gas, Ladies and Gentlemen	Tadeusz Borowski
Thomas of Reading, Or, The Sixe Worthie Yeomen of the West	Thomas Deloney
Three Junes	Julia Glass
Three Men in a Boat	Jerome K. Jerome
Three Trapped Tigers	Guillermo Cabrera Infante
Through the Language Glass: Why the World Looks Different in Other Languages	Guy Deutscher
Thursbitch	Alan Garner
Thus Spake Zarathustra	Friedrich Nietzsche
Thyestes	Seneca
Ties That Bind, Ties That Break	Lensey Namioka
Time and Again	Jack Finney
Time of Silence	Luis Martín-Santos
Time's Arrow	Martin Amis
Tinkers	Paul Harding
Tisha	Robert Specht
Tlooth	Harry Mathews
To Each His Own	Leonardo Sciascia
To Kill a Mockingbird	Harper Lee
Tobacco Road	Erskine Caldwell
Tours of the Black Clock	Steve Erickson
Track	Ernst Bloch
Tragic Magic	Wesley Brown
Trainspotting	Irvine Welsh
Tripmaster Monkey	Maxine Hong Kingston
Tristan	Gottfried von Strassburg
Tropisms	Nathalie Sarraute
Troubling Love	Elena Ferrante
True History of the Kelly Gang	Peter Carey
Twelve Bar Blues	Patrick Neate
Twilight	Stephenie Meyer
Two Essays on Analytical Psychology	Carl Jung
Two Serious Ladies	Jane Bowles
Typical: Stories	Padgett Powell
Ubu Roi	Alfred Jarry
Uncle Petros and Goldbach's Conjecture	Apostolos Doxiadis
Uncle Silas	Sheridan Le Fanu
Uncle Tom's Cabin	Harriet Beecher Stowe
Under Fire	Henri Barbusse
Under the Volcano	Malcolm Lowry
Under the Yoke	Ivan Vazov
Under Western Eyes	Joseph Conrad
Unless	Carol Shields
Untouchable	Mulk Raj Anand
Up	Ronald Sukenick
Utopia	Thomas More
V for Vendetta	Alan Moore
Valley of the Dolls	Jacqueline Susann
Vanity Fair	William Makepeace Thackeray
Vathek	William Beckford
Vendor Of Sweeets	R. K. Narayan, R. K
Venus in Furs	Leopold Von Sacher-Masoch
Vernon God Little	DBC Pierre
Victory Over Japan: A Book of Stories	Ellen Gilchrist
Vida	Marge Piercy
Vile Bodies	Evelyn Waugh
Villette	Charlotte Bronte
Visitation	Jenny Erpenbeck
Volpone	Ben Jonson
W, or the Memory of Childhood	Georges Perec
Waiting for the Dark, Waiting for the Light	Ivan Klíma
Waiting for the Mahatma	R. K. Narayan
Waiting to Exhale	Terry McMillan
Walden Two	B. F. Skinner
War Dances	Sherman Alexie
War Music	Christopher Logue
War Poems of Siegfried Sassoon	Siegfried Sassoon
War Trash	Ha Jin
Watchers	Dean R. Koontz
Watchmen	Alan Moore, Dave Gibbons
Waterland	Graham Swift
Watership Down	Richard Adams
Watt	Samuel Beckett
Waverley	Sir Walter Scott
We	Yevgeny Zamyatin
We are All Completely Beside Ourselves	Karen Joy Fowler
We're Going on a Bear Hunt	Michael Rosen
What a Carve Up!	Jonathan Coe
What Belongs to You	Garth Greenwell
Whatever	Michel Houellebecq
Where Angels Fear to Tread	E. M. Forster
Where the Red Fern Grows	Wilson Rawls
Where the Sidewalk Ends	Shel Silverstein
White Girls	Hilton Als
Who Fears Death	Nnedi Okorafor
Wide Sargasso Sea	Jean Rhys
Wild at Heart: The Story of Sailor and Lula	Barry Gifford
Wilhelm Meister's Apprenticeship	Johann Wolfgang von Goethe
Will You Please be Quiet, Please?	Raymond Carver
Willard and His Bowling Trophies: A Perverse Mystery	Richard Brautigan
Winesburg, Ohio	Sherwood Anderson
Winter's Bone	Daniel Woodrell
Winter's Tale	Mark Helprin
Wittgenstein's Mistress	David Markson
Wolf Brother	Michelle Paver
Wolf in White Van	John Darnielle
Woman at Point Zero	Nawal El Saadawi
Women	Charles Bukowski
Women in Their Beds	Gina Berriault
Words	Jacques Prévert
Works and Days	Hesiod
World's Fair	E. L. Doctorow
Wry-Blue Loves: Les Amours Jaunes	Tristan Corbière
Years of Grace	Margaret Ayer Barnes
Yellow Back Radio Broke-Down	Ishmael Reed
You Bright and Risen Angels	William T. Vollmann
You Shall Know Our Velocity	Dave Eggers
Young Shoulders	John Wain
Youth	J M Coetzee
Z	Vassilis Vassilikos
Zuleika Dobson	Max Beerbohm
